impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
3,4,SERVICIOS ECONOMICOS,2,Comunicaciones,14044.41748663,8896.42112297,5313.78485699,2025,2025-03,True,8353.3158,20640.90849883,13074.96124643,7809.60457207
3,4,SERVICIOS ECONOMICOS,3,Transporte,462996.11410713,363316.67180739,214375.93922002,2025,2025-03,True,8353.3158,680459.72256939,533962.06613883,315065.69425214
3,4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,23875.79467619,19611.7226461,11068.81102898,2025,2025-03,True,8353.3158,35089.96323396,28823.10875677,16267.6961047
3,4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",18275.87155818,27016.36261966,12707.01780547,2025,2025-03,True,8353.3158,26859.82476154,39705.61750493,18675.34855507
3,4,SERVICIOS ECONOMICOS,6,Industria,14197.12074564,6505.37439868,5201.36430514,2025,2025-03,True,8353.3158,20865.33460976,9560.86913833,7644.38146286
3,4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios",5807.41571534,4468.50027066,3777.51059125,2025,2025-03,True,8353.3158,8535.08780333,6567.30016047,5551.76108526
3,4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,45882.02157778,24477.63371524,4646.2585852,2025,2025-03,True,8353.3158,67432.24559011,35974.4787041,6828.54937988
3,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,405227.57462747,405227.57462747,568223.60339404,2025,2025-03,True,8353.3158,595558.00709091,595558.00709091,835111.27575776
4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,32080.00468064,32213.99398413,33012.40815719,2025,2025-04,True,8585.6078,45871.96619244,46063.56070313,47205.23223089
4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,187705.70542117,205783.37233424,196832.5635979,2025,2025-04,True,8585.6078,268404.87895576,294254.56737476,281455.59181862
4,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,25188.85285276,21767.6991138,25521.83770151,2025,2025-04,True,8585.6078,36018.14332606,31126.15374517,36494.2863278
4,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,6258.39362985,30604.7746008,69765.75910389,2025,2025-04,True,8585.6078,8949.02678056,43762.49940706,99759.72805686
4,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,148586.79462557,150628.83488452,164455.81741168,2025,2025-04,True,8585.6078,212467.8125069,215387.77472806,235159.30784795
4,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,4454.12587219,4271.46883985,6745.90418154,2025,2025-04,True,8585.6078,6369.06114759,6107.87548706,9646.12978189
4,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,7597.13181239,7608.39937677,8184.85654015,2025,2025-04,True,8585.6078,10863.32053648,10879.43229635,11703.72218575
4,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,2342.50965652,2368.00875733,3285.16117379,2025,2025-04,True,8585.6078,3349.61060134,3386.07237564,4697.5305584
4,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,47447.95033198,146620.17493375,149107.06418675,2025,2025-04,True,8585.6078,67846.95935043,209655.69595908,213211.75839965
4,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,29053.57585029,217783.29881841,214281.6125383,2025,2025-04,True,8585.6078,41544.40320198,311413.54934728,306406.40435909
4,2,SERVICIOS DE DEFENSA Y SEGURIDAD,3,Sistema Penal,4979.96627738,33744.81787871,42139.53095646,2025,2025-04,True,8585.6078,7120.97292346,48252.52241426,60256.32348384
4,2,SERVICIOS DE DEFENSA Y SEGURIDAD,4,Inteligencia,-13242.52003483,20226.06422909,18679.76240193,2025,2025-04,True,8585.6078,-18935.7962191,28921.73314061,26710.63916338
4,3,SERVICIOS SOCIALES,1,Salud,533653.77049064,522906.13793417,609507.34611796,2025,2025-04,True,8585.6078,763084.29384945,747715.99692471,871549.13640141
4,3,SERVICIOS SOCIALES,2,Promoción y Asistencia Social,218187.78728014,227914.45217842,242023.54381144,2025,2025-04,True,8585.6078,311991.93707591,325900.32792002,346075.2555997
4,3,SERVICIOS SOCIALES,3,Seguridad Social,5129356.94044837,5130516.38106911,5195127.92330097,2025,2025-04,True,8585.6078,7334590.20668992,7336248.11857261,7428637.70861184
4,3,SERVICIOS SOCIALES,4,Educación y Cultura,431105.77504038,476762.53359638,828912.29513639,2025,2025-04,True,8585.6078,616448.46174075,681734.15311725,1185281.52216695
4,3,SERVICIOS SOCIALES,5,"Ciencia, Tecnología e Innovación",95202.31246849,99499.44112563,147484.8549338,2025,2025-04,True,8585.6078,136132.06427092,142276.63134462,210892.12257823
4,3,SERVICIOS SOCIALES,6,Trabajo,81552.0692018,87115.4600411,90629.72732378,2025,2025-04,True,8585.6078,116613.25484799,124568.48051071,129593.61537547
4,3,SERVICIOS SOCIALES,7,Vivienda y Urbanismo,2005.12525293,1856.72928213,1814.25196623,2025,2025-04,True,8585.6078,2867.17657088,2654.98162193,2594.24229167
