province,source,sheet,year,period_type,period,category,value_millions,category_normalized
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,C.F.I. | Neta De | Ley Nº 26.075,0,CFI | Neta
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Compensación | Consenso Fiscal | II. a y b; II. d y e | (2),0,Compensación Consenso Fiscal
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,F.E.D.E.I.,0,F.E.D.E.I.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,F.E.D.E.I.,0,F.E.D.E.I.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Financ. | Educativo | Ley Nº 26.075,0,Financiamiento Educativo
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Fondo | Compens. | de | Desequilib.,0,Fondo | Compens. | de | Desequilib.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2,0,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.,0,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906,0,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699,0,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Ley Nº 23.966 | Art. 30,0,Ley Nº 23.966 | Art. 30
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Ley Nº 24.464 | FO.NA.VI.,0,Ley Nº 24.464 | FO.NA.VI.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Reg.Simplif. | P/Peq.Contrib. | Ley Nº 24.977 | Aart. 59 Inc. A,0,Reg.Simplif. | P/Peq.Contrib. | Ley Nº 24.977 | Aart. 59 Inc. A
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.,0,Régimen de la Energía Eléctrica | L E Y Nº 2 4 . 0 6 5 | Fdo. P/Comp. | Tarifa Elect.
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Subtotal,0,Subtotal
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Subtotal,0,Subtotal
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Total | (1) + (2),0,Total | (1) + (2)
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Total | Recursos | Origen Nacional | (1),0,Total | Recursos | Origen Nacional | (1)
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Transfer. | De Servicios | Ley | Nº 24.049,0,Transfer. | De Servicios | Ley | Nº 24.049
CABA,informacion_consolidada_2026_0.xlsx,marzo,2026,month,2026-03,Vialidad | Provincial,0,Vialidad | Provincial
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,C.F.I. | Neta De | Ley Nº 26.075,135271.6347,CFI | Neta
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Compensación | Consenso Fiscal | II. a y b; II. d y e | (2),928.062723,Compensación Consenso Fiscal
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,F.E.D.E.I.,311.7815120102728,F.E.D.E.I.
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,F.E.D.E.I.,295.85904785142435,F.E.D.E.I.
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Financ. | Educativo | Ley Nº 26.075,7863.87777918456,Financiamiento Educativo
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Fondo | Compens. | de | Desequilib.,2.2,Fondo | Compens. | de | Desequilib.
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2,0.0,I.V.A. | Ley Nº 23.966 | Art. 5 | Punto 2
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.,246.4647,Impuesto a los Combustibles Líquidos | Ley Nº 23.966 y Nº 24.699 | Obras de | Infraestr.
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906,0.0,Impuesto s/ | Los Activos | Fdo. Educ. | Ley Nº 23.906
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699,793.5169000000001,Impuesto sobre los | Bienes Personales | Ley | Nº 24.699
Catamarca,informacion_consolidada_2026_0.xlsx,enero,2026,month,2026-01,Ley Nº 23.966 | Art. 30,0.0,Ley Nº 23.966 | Art. 30
