province,source,year,period_type,period,tax,value_millions
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,71086.671954
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,2777.234029
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,2407.6586529999995
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,7977.871347
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,2075.413197
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,64033.055967
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,21947.150063
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,1922.430093
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,7878.716908
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,6963.69165
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,61766.402625
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,6351.941631
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,2385.369581
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,7723.97849
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,30426.658221
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,67785.222425
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,11384.357645
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,2499.0713889999997
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,8470.744631
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,17627.227651
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,67360.573766
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,29765.719996
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,2471.370303
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,8489.019381
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,5160.187522
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,71000.459527
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,12586.459045
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,2692.0323550000003
Entre Ríos,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,8977.61395
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,13853.67083167
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,53.69613069
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,26.780123500000002
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,1403.08955886
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,13091.20440542
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,51.50762739
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,32.62081501
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,1740.00762568
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,12710.47287446
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,106.6519598
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,24.5899422
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,1783.36419013
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,13819.89748209
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,90.59754601
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,24.42639294
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,2135.09714549
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,16554.10737406
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,157.41854095
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,35.32274999
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,1629.61643738
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,16142.33423689
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,166.92977987
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,75.12853597
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,1781.80455719
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-07,Automotores,0.0
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-07,Iibb,16466.41004466
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-07,Inmobiliario,154.14612297
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-07,Otros,79.7833583
Formosa,top_mensual_2026_12.xlsx,2026,month,2026-07,Sellos,1700.64816976
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-01,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-01,Iibb,25337.645064
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-01,Inmobiliario,1444.984319
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-01,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-01,Sellos,3251.227113
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-02,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-02,Iibb,23522.391473
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-02,Inmobiliario,2770.087933
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-02,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-02,Sellos,3386.045269
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-03,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-03,Iibb,23692.420305
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-03,Inmobiliario,2784.644854
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-03,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-03,Sellos,2791.764264
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-04,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-04,Iibb,24783.802606
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-04,Inmobiliario,809.556199
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-04,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-04,Sellos,3144.524758
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-05,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-05,Iibb,26407.681451
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-05,Inmobiliario,466.652157
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-05,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-05,Sellos,2945.876533
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-06,Automotores,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-06,Iibb,26470.798853
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-06,Inmobiliario,585.154361
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-06,Otros,0.0
Jujuy,top_mensual_2026_12.xlsx,2026,month,2026-06,Sellos,3149.152867
