province,source,year,period_type,period,tax,value_millions
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,1347.06713244
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,26734.57067613
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,317324.32283534994
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,50591.90686128
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,493841.0330783801
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,32515.497386649997
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,608.4355596
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,55247.41510435
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,632804.28799026
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,72493.19442407
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,792748.26352193
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,41370.27033016
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,1055.52620003
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,93360.78986043
Mendoza,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,1001028.04433662
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,2228.53943863
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,229066.40518376
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,7224.70990171
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,889.80948577
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,13443.33412956
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,252852.79813943
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,4174.970571039999
