province,period,category,value_millions,price_basis,evidence_status,source_file,source_url
Buenos Aires,2026-05,Compensación Consenso Fiscal,146868.447301,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-05,Total | (1) + (2),1793551.9277272387,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-06,CFI | Neta,814895.5462999999,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-06,Compensación Consenso Fiscal,162328.283859,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-06,Total | (1) + (2),1596425.542929013,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-07,CFI | Neta,1081352.3255,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-07,Compensación Consenso Fiscal,158484.169746,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Buenos Aires,2026-07,Total | (1) + (2),1638032.3689408773,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-01,CFI | Neta,102465.67,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-01,Total | (1) + (2),128756.21715857813,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-02,CFI | Neta,65356.0256,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-02,Total | (1) + (2),119022.33516757439,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-03,CFI | Neta,51442.2361,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-03,Total | (1) + (2),108759.77433129703,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-04,CFI | Neta,62567.329600000005,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-04,Total | (1) + (2),121713.76138273982,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-05,CFI | Neta,131577.168,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-05,Total | (1) + (2),179799.54071490248,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-06,CFI | Neta,76844.9893,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-06,Total | (1) + (2),128888.28929762793,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-07,CFI | Neta,105885.9028,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
CABA,2026-07,Total | (1) + (2),158700.2118192825,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-01,CFI | Neta,135271.6347,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-01,Compensación Consenso Fiscal,928.062723,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-01,Total | (1) + (2),148137.17355301516,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-02,CFI | Neta,116821.804,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-02,Compensación Consenso Fiscal,4795.482333999999,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-02,Total | (1) + (2),141248.8170124433,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-03,CFI | Neta,103945.7099,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
Catamarca,2026-03,Compensación Consenso Fiscal,4928.062723,pesos_corrientes,auditado,informacion_consolidada_2026_4.xlsx,https://www.argentina.gob.ar/sites/default/files/informacion_consolidada_2026_4.xlsx
