provincia,area,indicador,valor_base,unidad_y_lectura,periodo_base,fuente,nota_cobertura,meta,fecha_objetivo,responsable,frecuencia_seguimiento,fuente_seguimiento
Santa Cruz,Educación,Matemática · satisfactorio o avanzado,12.6,"12,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_cruz_2024.pdf,"La participación estudiantil fue 49,8%. Se muestra el dato, pero se excluye del ranking por baja participación.",,,,,
Santa Cruz,Salud,Mortalidad infantil,7.0,"7,0 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Santa Fe,Seguridad,Víctimas de homicidio doloso,5.64522629622402,"5,6 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_82&start_date=2024-01-01&limit=10,,,,,,
Santa Fe,Educación,Lengua · satisfactorio o avanzado,57.0,"57,0%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_fe_2024.pdf,"La participación estudiantil fue 77,0%. El ranking conserva esta cobertura visible.",,,,,
Santa Fe,Educación,Matemática · satisfactorio o avanzado,19.6,"19,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santa_fe_2024.pdf,"La participación estudiantil fue 77,0%. El ranking conserva esta cobertura visible.",,,,,
Santa Fe,Salud,Mortalidad infantil,8.2,"8,2 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Santiago del Estero,Seguridad,Víctimas de homicidio doloso,1.98717985113184,"2,0 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_86&start_date=2024-01-01&limit=10,,,,,,
Santiago del Estero,Educación,Lengua · satisfactorio o avanzado,43.0,"43,0%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santiago_del_estero_2024.pdf,"La participación estudiantil fue 82,7%. El ranking conserva esta cobertura visible.",,,,,
Santiago del Estero,Educación,Matemática · satisfactorio o avanzado,8.6,"8,6%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/santiago_del_estero_2024.pdf,"La participación estudiantil fue 82,7%. El ranking conserva esta cobertura visible.",,,,,
Santiago del Estero,Salud,Mortalidad infantil,10.7,"10,7 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Tierra del Fuego,Seguridad,Víctimas de homicidio doloso,2.74720746361324,"2,7 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_94&start_date=2024-01-01&limit=10,,,,,,
Tierra del Fuego,Educación,Lengua · satisfactorio o avanzado,59.5,"59,5%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/tierra_del_fuego_2024.pdf,"La participación estudiantil fue 68,8%. El ranking conserva esta cobertura visible.",,,,,
Tierra del Fuego,Educación,Matemática · satisfactorio o avanzado,17.4,"17,4%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/tierra_del_fuego_2024.pdf,"La participación estudiantil fue 68,8%. El ranking conserva esta cobertura visible.",,,,,
Tierra del Fuego,Salud,Mortalidad infantil,5.6,"5,6 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
Tucumán,Seguridad,Víctimas de homicidio doloso,2.65002675399351,"2,7 cada 100.000",2025,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_90&start_date=2024-01-01&limit=10,,,,,,
Tucumán,Educación,Lengua · satisfactorio o avanzado,48.8,"48,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/tucuman_2024.pdf,"La participación estudiantil fue 78,3%. El ranking conserva esta cobertura visible.",,,,,
Tucumán,Educación,Matemática · satisfactorio o avanzado,12.8,"12,8%",Aprender Secundaria 2024,https://www.argentina.gob.ar/sites/default/files/2025/07/tucuman_2024.pdf,"La participación estudiantil fue 78,3%. El ranking conserva esta cobertura visible.",,,,,
Tucumán,Salud,Mortalidad infantil,10.2,"10,2 cada 1.000",2024,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,,,,,,
