provincia,indicador,id,area,valor_base,periodo_base,unidad,referencia_mediana,universo_referencia,meta_propuesta,estado,criterio,horizonte,responsable_funcional,seguimiento,fuente,nota_cobertura
Misiones,Mortalidad infantil,infant_mortality,Salud,9.5,2024,cada 1.000 nacidos vivos,8.25,24,8.88,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Neuquén,Víctimas de homicidio doloso,homicide_rate,Seguridad,5.6913900651095,2025,cada 100.000 habitantes,2.88960391691822,24,4.29,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_58&start_date=2024-01-01&limit=10,
Neuquén,Lengua · satisfactorio o avanzado,language_high,Educación,58.0,Aprender Secundaria 2024,%,54.65,22,,Propuesta para discutir; no aprobada,Actualizar medición con cobertura suficiente antes de fijar una meta numérica,Primeros 12 meses: acordar medición comparable,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/neuquen_2024.pdf,"La participación estudiantil fue 42,5%. Se muestra el dato, pero se excluye del ranking por baja participación."
Neuquén,Matemática · satisfactorio o avanzado,math_high,Educación,17.8,Aprender Secundaria 2024,%,16.25,22,,Propuesta para discutir; no aprobada,Actualizar medición con cobertura suficiente antes de fijar una meta numérica,Primeros 12 meses: acordar medición comparable,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/neuquen_2024.pdf,"La participación estudiantil fue 42,5%. Se muestra el dato, pero se excluye del ranking por baja participación."
Neuquén,Mortalidad infantil,infant_mortality,Salud,7.1,2024,cada 1.000 nacidos vivos,8.25,24,7.1,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Río Negro,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.16994185058669,2025,cada 100.000 habitantes,2.88960391691822,24,3.03,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_62&start_date=2024-01-01&limit=10,
Río Negro,Lengua · satisfactorio o avanzado,language_high,Educación,58.7,Aprender Secundaria 2024,%,54.65,22,58.7,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/rio_negro_2024.pdf,"La participación estudiantil fue 65,4%. El ranking conserva esta cobertura visible."
Río Negro,Matemática · satisfactorio o avanzado,math_high,Educación,19.6,Aprender Secundaria 2024,%,16.25,22,19.6,Propuesta para discutir; no aprobada,Sostener el resultado de base,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Educación,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/2025/07/rio_negro_2024.pdf,"La participación estudiantil fue 65,4%. El ranking conserva esta cobertura visible."
Río Negro,Mortalidad infantil,infant_mortality,Salud,8.3,2024,cada 1.000 nacidos vivos,8.25,24,8.28,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Salud,Anual; sujeto a publicación de la fuente,https://www.argentina.gob.ar/sites/default/files/serie_5_nro_68_anuario_vitales_v4_revisada_ok.pdf,
Salta,Víctimas de homicidio doloso,homicide_rate,Seguridad,3.16175327964631,2025,cada 100.000 habitantes,2.88960391691822,24,3.03,Propuesta para discutir; no aprobada,Cerrar la mitad de la brecha con la mediana,48 meses desde la asunción; actualizar la base al inicio,Área provincial de Seguridad,Anual; sujeto a publicación de la fuente,https://apis.datos.gob.ar/series/api/series?ids=t_snic_1_victimas_66&start_date=2024-01-01&limit=10,
