report_period,publication_date,source_sha256,province,year,source_page,tax,royalties,national_tax,social_income,other_income,income,personnel,current_transfers,capital,social_spend,other_spend,primary_spend,primary,interest_signed,financial
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Corrientes,2025,31,12.2,1.0,70.0,13.6,3.2,100.0,47.7,16.6,10.8,17.5,12.3,105.0,-5.0,-0.2,-5.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chaco,2025,32,10.2,0.0,69.9,14.0,5.9,100.0,49.8,19.8,4.1,21.6,5.9,101.3,-1.3,-4.5,-5.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Chubut,2025,33,21.6,16.6,33.9,17.6,10.2,100.0,58.1,7.2,7.7,21.3,10.4,104.7,-4.7,-3.5,-8.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Entre Ríos,2025,34,20.3,0.6,57.5,16.0,5.7,100.0,46.2,16.8,3.8,26.1,7.1,100.0,0.0,-2.8,-2.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Formosa,2025,35,5.9,0.1,74.3,11.1,8.7,100.0,39.7,16.3,13.8,15.9,13.1,98.7,1.3,-0.1,1.2
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Jujuy,2025,36,12.4,1.0,70.1,0.0,16.5,100.0,49.2,28.9,11.0,0.0,7.8,96.9,3.1,-2.1,1.0
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,La Rioja,2025,37,11.3,0.0,85.2,0.0,3.4,100.0,51.7,30.0,7.3,0.0,13.2,102.2,-2.2,-0.6,-2.8
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Mendoza,2025,38,30.8,3.8,52.8,0.0,12.5,100.0,44.2,28.6,13.6,0.0,16.5,102.9,-2.9,-2.8,-5.7
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Misiones,2025,39,27.1,0.7,52.7,14.1,5.3,100.0,37.6,41.4,5.8,11.4,5.1,101.3,-1.3,-0.1,-1.4
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Neuquén,2025,40,23.5,31.1,13.8,18.8,12.8,100.0,49.9,12.4,7.6,18.6,9.3,97.9,2.1,-1.2,0.9
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Río Negro,2025,41,28.5,5.2,58.5,0.0,7.8,100.0,66.9,21.4,4.7,0.0,10.1,103.0,-3.0,-1.4,-4.5
